# CDM (linear) correlation function at z = 0.3
#    k [h/Mpc]     P(k)	     log_10(\Delta^2(k))
          0.1      0.10756      -5.2637
      0.10476      0.11503      -5.1739
      0.10975      0.12495      -5.0774
      0.11498      0.13735      -4.9757
      0.12045      0.15145      -4.8726
      0.12619      0.16559      -4.7733
      0.13219      0.17777      -4.6818
      0.13849      0.18669         -4.6
      0.14508      0.19275      -4.5255
      0.15199      0.19843      -4.4523
      0.15923      0.20718      -4.3729
      0.16681      0.22147      -4.2833
      0.17475      0.24085      -4.1863
      0.18307      0.26127      -4.0904
      0.19179      0.27746      -4.0036
      0.20092       0.2876      -3.9275
      0.21049      0.29598      -3.8544
      0.22051      0.30956      -3.7743
      0.23101      0.33079      -3.6849
      0.24201      0.35411      -3.5947
      0.25354       0.3718      -3.5129
      0.26561      0.38438      -3.4378
      0.27826      0.40043      -3.3595
      0.29151      0.42373      -3.2743
      0.30539      0.44714      -3.1903
      0.31993      0.46511      -3.1126
      0.33516      0.48376      -3.0349
      0.35112      0.50804      -2.9531
      0.36784      0.53192      -2.8725
      0.38535      0.55297      -2.7951
       0.4037        0.577       -2.716
      0.42292      0.60273      -2.6364
      0.44306      0.62686      -2.5588
      0.46416      0.65282      -2.4805
      0.48626      0.67972      -2.4024
      0.50941      0.70639      -2.3251
      0.53367      0.73457      -2.2475
      0.55908      0.76291      -2.1704
       0.5857      0.79219      -2.0935
      0.61359      0.82207      -2.0168
      0.64281      0.85266      -1.9403
      0.67342      0.88394      -1.8641
      0.70548      0.91595       -1.788
      0.73907      0.94859      -1.7122
      0.77426      0.98203      -1.6365
      0.81113       1.0161      -1.5611
      0.84975       1.0509      -1.4859
      0.89022       1.0864      -1.4109
       0.9326       1.1226       -1.336
      0.97701       1.1594      -1.2614
       1.0235       1.1971      -1.1869
       1.0723       1.2354      -1.1126
       1.1233       1.2744      -1.0385
       1.1768       1.3141      -0.9646
       1.2328       1.3544     -0.89084
       1.2915       1.3955     -0.81726
        1.353       1.4373     -0.74384
       1.4175       1.4798     -0.67059
        1.485       1.5229     -0.59751
       1.5557       1.5667     -0.52458
       1.6298       1.6112     -0.45181
       1.7074       1.6564     -0.37919
       1.7886       1.7023     -0.30673
       1.8738       1.7488     -0.23441
        1.963        1.796     -0.16225
       2.0565       1.8438    -0.090223
       2.1544       1.8923    -0.018343
        2.257       1.9414     0.053398
       2.3645       1.9912        0.125
       2.4771       2.0417      0.19647
        2.595       2.0927      0.26781
       2.7186       2.1444      0.33901
        2.848       2.1967      0.41009
       2.9836       2.2497      0.48104
       3.1257       2.3033      0.55186
       3.2745       2.3574      0.62257
       3.4305       2.4122      0.69315
       3.5938       2.4676      0.76362
       3.7649       2.5236      0.83397
       3.9442       2.5802       0.9042
        4.132       2.6374      0.97433
       4.3288       2.6951       1.0443
       4.5349       2.7535       1.1142
       4.7508       2.8124        1.184
        4.977       2.8719       1.2537
        5.214       2.9319       1.3233
       5.4623       2.9925       1.3928
       5.7224       3.0537       1.4622
       5.9948       3.1154       1.5315
       6.2803       3.1776       1.6007
       6.5793       3.2404       1.6698
       6.8926       3.3038       1.7388
       7.2208       3.3676       1.8078
       7.5646        3.432       1.8766
       7.9248       3.4969       1.9453
       8.3022       3.5624        2.014
       8.6975       3.6283       2.0826
       9.1116       3.6948        2.151
       9.5455       3.7617       2.2195
           10       3.8292       2.2878
