# CDM (linear) correlation function at z = 0.3
#  r (Mpc/h)  xi
    0.0100   23.3669
    0.0110   22.5861
    0.0120   21.8222
    0.0132   21.0750
    0.0145   20.3442
    0.0159   19.6033
    0.0175   18.7984
    0.0192   18.2481
    0.0210   17.5825
    0.0231   16.7856
    0.0254   16.2964
    0.0278   15.5451
    0.0305   14.9272
    0.0335   14.3557
    0.0368   13.8616
    0.0404   13.2242
    0.0443   12.6644
    0.0486   12.1422
    0.0534   11.7664
    0.0586   11.1374
    0.0643   10.6297
    0.0705   10.1652
    0.0774    9.6928
    0.0850    9.2564
    0.0933    8.8264
    0.1024    8.4233
    0.1123    8.0165
    0.1233    7.6294
    0.1353    7.2371
    0.1485    6.9395
    0.1630    6.5448
    0.1789    6.1785
    0.1963    5.8554
    0.2154    5.5837
    0.2364    5.2375
    0.2595    4.9662
    0.2848    4.6626
    0.3126    4.3936
    0.3430    4.1349
    0.3765    3.8870
    0.4132    3.6596
    0.4535    3.4233
    0.4977    3.2091
    0.5462    2.9993
    0.5995    2.8230
    0.6579    2.6115
    0.7221    2.4463
    0.7925    2.2612
    0.8697    2.1012
    0.9545    1.9486
    1.0476    1.8113
    1.1498    1.6791
    1.2619    1.5376
    1.3849    1.4193
    1.5199    1.3040
    1.6681    1.1955
    1.8307    1.1026
    2.0092    0.9972
    2.2051    0.9084
    2.4201    0.8365
    2.6561    0.7597
    2.9151    0.6878
    3.1993    0.6210
    3.5112    0.5664
    3.8535    0.5079
    4.2292    0.4530
    4.6416    0.4054
    5.0941    0.3640
    5.5908    0.3245
    6.1359    0.2871
    6.7342    0.2471
    7.3907    0.2218
    8.1113    0.1949
    8.9022    0.1700
    9.7701    0.1481
   10.7227    0.1283
   11.7681    0.1107
   12.9155    0.0956
   14.1747    0.0815
   15.5568    0.0694
   17.0735    0.0572
   18.7382    0.0495
   20.5651    0.0419
   22.5702    0.0350
   24.7708    0.0285
   27.1859    0.0235
   29.8365    0.0192
   32.7455    0.0157
   35.9381    0.0128
   39.4421    0.0104
   43.2876    0.0084
   47.5081    0.0068
   52.1401    0.0054
   57.2237    0.0042
   62.8029    0.0033
   68.9261    0.0026
   75.6463    0.0021
   83.0218    0.0016
   91.1163    0.0012
  100.0000    0.0009
